experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_prod_bs_lr	20260720	20260721	20260724	buy	0.835069	0.698900	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	20260720	20260721	20260724	cat	0.833968	0.702400	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	20260720	20260721	20260724	click	0.802264	0.697900	0.695700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	20260720	20260721	20260724	ext	0.864008	0.811400	0.810800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	20260724	20260725	20260725	buy	0.832836	0.701300	0.695700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
BR_train_prod_bs_lr	20260724	20260725	20260725	cat	0.832524	0.704900	0.698700	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
BR_train_prod_bs_lr	20260724	20260725	20260725	click	0.804794	0.699200	0.696600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
BR_train_prod_bs_lr	20260724	20260725	20260725	ext	0.859802	0.805700	0.806300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
BR_train_prod_bs_lr	20260725	20260726	20260726	buy	0.836118	0.715500	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
BR_train_prod_bs_lr	20260725	20260726	20260726	cat	0.835471	0.718600	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
BR_train_prod_bs_lr	20260725	20260726	20260726	click	0.805168	0.709700	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
BR_train_prod_bs_lr	20260725	20260726	20260726	ext	0.855698	0.803500	0.800800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
BR_train_prod_bs_lr	20260726	20260727	20260727	buy	0.839539	0.705700	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
BR_train_prod_bs_lr	20260726	20260727	20260727	cat	0.838240	0.708400	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
BR_train_prod_bs_lr	20260726	20260727	20260727	click	0.803290	0.697100	0.694300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
BR_train_prod_bs_lr	20260726	20260727	20260727	ext	0.859491	0.811000	0.811200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
BR_train_prod_bs_lr	20260727	20260728	20260728	buy	0.840162	0.703000	0.696200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
BR_train_prod_bs_lr	20260727	20260728	20260728	cat	0.838793	0.706600	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
BR_train_prod_bs_lr	20260727	20260728	20260728	click	0.803893	0.700000	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
BR_train_prod_bs_lr	20260727	20260728	20260728	ext	0.865000	0.824100	0.824500	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
BR_train_prod_bs_lr	20260728	20260729	20260729	buy	0.838792	0.703600	0.697900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
BR_train_prod_bs_lr	20260728	20260729	20260729	cat	0.837613	0.707300	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
BR_train_prod_bs_lr	20260728	20260729	20260729	click	0.805116	0.703400	0.699800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
BR_train_prod_bs_lr	20260728	20260729	20260729	ext	0.856610	0.812700	0.812600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
BR_train_prod_bs_lr	20260729	20260730	20260730	buy	0.838903	0.703900	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
BR_train_prod_bs_lr	20260729	20260730	20260730	cat	0.837910	0.708100	0.701500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
BR_train_prod_bs_lr	20260729	20260730	20260730	click	0.805169	0.703200	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
BR_train_prod_bs_lr	20260729	20260730	20260730	ext	0.862085	0.805500	0.805900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
BR_train_prod_bs_lr	20260730	20260731	20260731	buy	0.839150	0.707600	0.701700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
BR_train_prod_bs_lr	20260730	20260731	20260731	cat	0.838000	0.711300	0.705100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
BR_train_prod_bs_lr	20260730	20260731	20260731	click	0.806877	0.706200	0.703100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
BR_train_prod_bs_lr	20260730	20260731	20260731	ext	0.858310	0.814400	0.813200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
