experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_buy_priority_aux_projection	20260725	20260726	20260726	buy	0.836360	0.715600	0.709700	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
BR_train_buy_priority_aux_projection	20260725	20260726	20260726	cat	0.835688	0.718600	0.712600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
BR_train_buy_priority_aux_projection	20260725	20260726	20260726	click	0.805549	0.708600	0.706300	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
BR_train_buy_priority_aux_projection	20260725	20260726	20260726	ext	0.855444	0.805200	0.801700	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160603
BR_train_buy_priority_aux_projection	20260726	20260727	20260727	buy	0.840310	0.706500	0.698800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
BR_train_buy_priority_aux_projection	20260726	20260727	20260727	cat	0.838964	0.709500	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
BR_train_buy_priority_aux_projection	20260726	20260727	20260727	click	0.803924	0.698400	0.695600	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
BR_train_buy_priority_aux_projection	20260726	20260727	20260727	ext	0.860768	0.817600	0.815100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160645
BR_train_buy_priority_aux_projection	20260727	20260728	20260728	buy	0.840086	0.703300	0.696300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
BR_train_buy_priority_aux_projection	20260727	20260728	20260728	cat	0.838707	0.706800	0.699500	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
BR_train_buy_priority_aux_projection	20260727	20260728	20260728	click	0.803839	0.699600	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
BR_train_buy_priority_aux_projection	20260727	20260728	20260728	ext	0.865055	0.823900	0.823300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160712
BR_train_buy_priority_aux_projection	20260728	20260729	20260729	buy	0.839030	0.703500	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
BR_train_buy_priority_aux_projection	20260728	20260729	20260729	cat	0.837861	0.707400	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
BR_train_buy_priority_aux_projection	20260728	20260729	20260729	click	0.805386	0.704200	0.700700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
BR_train_buy_priority_aux_projection	20260728	20260729	20260729	ext	0.856123	0.815100	0.813200	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160741
BR_train_buy_priority_aux_projection	20260729	20260730	20260730	buy	0.839031	0.704400	0.698100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
BR_train_buy_priority_aux_projection	20260729	20260730	20260730	cat	0.837974	0.708300	0.701700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
BR_train_buy_priority_aux_projection	20260729	20260730	20260730	click	0.805395	0.702700	0.699100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
BR_train_buy_priority_aux_projection	20260729	20260730	20260730	ext	0.862671	0.810600	0.810000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160811
BR_train_buy_priority_aux_projection	20260730	20260731	20260731	buy	0.839458	0.709100	0.703800	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
BR_train_buy_priority_aux_projection	20260730	20260731	20260731	cat	0.838355	0.712300	0.706700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
BR_train_buy_priority_aux_projection	20260730	20260731	20260731	click	0.807183	0.707500	0.704600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
BR_train_buy_priority_aux_projection	20260730	20260731	20260731	ext	0.858739	0.811500	0.809100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160842
BR_train_buy_priority_aux_projection	20260731	20260801	20260801	buy	0.833748	0.704300	0.697000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
BR_train_buy_priority_aux_projection	20260731	20260801	20260801	cat	0.833129	0.707100	0.699700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
BR_train_buy_priority_aux_projection	20260731	20260801	20260801	click	0.804900	0.703600	0.699600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
BR_train_buy_priority_aux_projection	20260731	20260801	20260801	ext	0.857299	0.819200	0.816600	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160919
BR_train_buy_purchase_intent_sidecar	20260720	20260721	20260724	buy	0.835110	0.698700	0.693800	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152243
BR_train_buy_purchase_intent_sidecar	20260720	20260721	20260724	cat	0.833996	0.702500	0.697600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152243
BR_train_buy_purchase_intent_sidecar	20260720	20260721	20260724	click	0.802401	0.698400	0.696300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152243
BR_train_buy_purchase_intent_sidecar	20260720	20260721	20260724	ext	0.863712	0.810000	0.809300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608152243
BR_train_buy_purchase_intent_sidecar	20260724	20260725	20260725	buy	0.833237	0.703000	0.696700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160032
BR_train_buy_purchase_intent_sidecar	20260724	20260725	20260725	cat	0.832837	0.706800	0.700200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160032
BR_train_buy_purchase_intent_sidecar	20260724	20260725	20260725	click	0.805022	0.700200	0.697500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160032
BR_train_buy_purchase_intent_sidecar	20260724	20260725	20260725	ext	0.859905	0.804300	0.802900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608160032
BR_train_buy_purchase_intent_sidecar	20260725	20260726	20260726	buy	0.836395	0.714900	0.708600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160109
BR_train_buy_purchase_intent_sidecar	20260725	20260726	20260726	cat	0.835671	0.717300	0.710900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160109
BR_train_buy_purchase_intent_sidecar	20260725	20260726	20260726	click	0.805489	0.708800	0.706100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160109
BR_train_buy_purchase_intent_sidecar	20260725	20260726	20260726	ext	0.855632	0.803200	0.799500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608160109
BR_train_buy_purchase_intent_sidecar	20260726	20260727	20260727	buy	0.839702	0.705300	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
BR_train_buy_purchase_intent_sidecar	20260726	20260727	20260727	cat	0.838392	0.708400	0.701600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
BR_train_buy_purchase_intent_sidecar	20260726	20260727	20260727	click	0.803491	0.697700	0.695100	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
BR_train_buy_purchase_intent_sidecar	20260726	20260727	20260727	ext	0.860484	0.816600	0.816900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608160148
BR_train_buy_purchase_intent_sidecar	20260727	20260728	20260728	buy	0.840255	0.702500	0.695100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
BR_train_buy_purchase_intent_sidecar	20260727	20260728	20260728	cat	0.838858	0.706000	0.698400	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
BR_train_buy_purchase_intent_sidecar	20260727	20260728	20260728	click	0.803955	0.699900	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
BR_train_buy_purchase_intent_sidecar	20260727	20260728	20260728	ext	0.864325	0.826200	0.824600	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608160214
BR_train_buy_purchase_intent_sidecar	20260728	20260729	20260729	buy	0.839072	0.703800	0.698300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160240
BR_train_buy_purchase_intent_sidecar	20260728	20260729	20260729	cat	0.837899	0.707500	0.701600	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160240
BR_train_buy_purchase_intent_sidecar	20260728	20260729	20260729	click	0.805329	0.703600	0.700000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160240
BR_train_buy_purchase_intent_sidecar	20260728	20260729	20260729	ext	0.855273	0.808800	0.806100	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608160240
BR_train_buy_purchase_intent_sidecar	20260729	20260730	20260730	buy	0.838665	0.705300	0.699100	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160307
BR_train_buy_purchase_intent_sidecar	20260729	20260730	20260730	cat	0.837660	0.708800	0.702400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160307
BR_train_buy_purchase_intent_sidecar	20260729	20260730	20260730	click	0.804958	0.703200	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160307
BR_train_buy_purchase_intent_sidecar	20260729	20260730	20260730	ext	0.861746	0.805600	0.805100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608160307
BR_train_buy_purchase_intent_sidecar	20260730	20260731	20260731	buy	0.839428	0.708900	0.703000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160335
BR_train_buy_purchase_intent_sidecar	20260730	20260731	20260731	cat	0.838328	0.712100	0.706200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160335
BR_train_buy_purchase_intent_sidecar	20260730	20260731	20260731	click	0.807054	0.707500	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160335
BR_train_buy_purchase_intent_sidecar	20260730	20260731	20260731	ext	0.858755	0.811800	0.809700	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608160335
BR_train_buy_purchase_intent_sidecar	20260731	20260801	20260801	buy	0.833515	0.704800	0.697300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
BR_train_buy_purchase_intent_sidecar	20260731	20260801	20260801	cat	0.832914	0.707000	0.699500	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
BR_train_buy_purchase_intent_sidecar	20260731	20260801	20260801	click	0.804680	0.702600	0.698300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
BR_train_buy_purchase_intent_sidecar	20260731	20260801	20260801	ext	0.856779	0.819500	0.816900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608160409
